Ensembl,TOM.similarity.measure,Name,gene_biotype,treated.atf4.vs.rosa26_logFC,treated.atf4.vs.rosa26_logCPM,treated.atf4.vs.rosa26_adjusted.pvalue
ENSMUSG00000022864.15,0.187007980591389,D16Ertd472e,protein_coding,0.388820285095565,7.69487031060675,0.000377476683128258
ENSMUSG00000037434.8,0.173899619192613,Slc30a1,protein_coding,0.488583711122267,4.1357462484955,0.000537539084690851
ENSMUSG00000028675.13,0.164769354224621,Pnrc2,protein_coding,0.305708144361358,6.73335835733567,0.0343156874102307
ENSMUSG00000003198.11,0.153690030534913,Zfp959,protein_coding,0.371202831835341,3.55669718105034,0.0314292625823828
ENSMUSG00000025408.16,0.15280541965941,Ddit3,protein_coding,-0.324910911880285,4.54089159970769,0.19300437689351
ENSMUSG00000040435.13,0.148886611039604,Ppp1r15a,protein_coding,-0.678419033169722,3.70603123694513,0.00260158629074843
ENSMUSG00000061374.15,0.144958974617027,Fiz1,protein_coding,0.129068338254351,5.24662810186375,0.289030845947877
ENSMUSG00000026456.19,0.143145359244447,Cyb5r1,protein_coding,-1.46730212549433,5.15444216966742,4.24646194799083e-10
ENSMUSG00000060427.16,0.142401816930104,Zfp868,protein_coding,0.460161723237321,4.32019545858261,0.00426473242831159
ENSMUSG00000023034.8,0.141078745020716,Nr4a1,protein_coding,1.22857980458214,2.50978306427976,0.000866717274819848
ENSMUSG00000001627.13,0.140692518283461,Ifrd1,protein_coding,0.298485170888307,6.29640458329583,0.0108913047685021
ENSMUSG00000021250.14,0.1401942599551,Fos,protein_coding,-0.263605924744063,0.21510042328024,0.729158198389593
ENSMUSG00000056501.4,0.139622809777671,Cebpb,protein_coding,-1.16624962760439,5.16612536420108,6.06454436961887e-07
ENSMUSG00000025786.18,0.136757772546164,Zdhhc3,protein_coding,-0.234287182890481,6.88342677787569,0.00830865798287067
ENSMUSG00000029782.21,0.136050117032159,Tmem209,protein_coding,-0.159099376915741,6.08169184138544,0.133912020706808
ENSMUSG00000032715.10,0.134345966296746,Trib3,protein_coding,-1.64344456123459,6.747713310649,4.07328854057892e-09
ENSMUSG00000027122.16,0.134175527815951,Arl14ep,protein_coding,-0.533686529946858,5.43506157454358,5.09093241595298e-06
ENSMUSG00000023832.15,0.131564214780775,Acat2,protein_coding,-0.467309886100414,5.12176827335695,0.000287161127133248
ENSMUSG00000031530.7,0.130423362688309,Dusp4,protein_coding,0.742706878339418,4.44468743892834,6.95391310253364e-05
ENSMUSG00000038425.19,0.129902435026827,Poli,protein_coding,-0.130729219280859,5.00109648336367,0.234826988759457
ENSMUSG00000028893.9,0.129329079067805,Sesn2,protein_coding,-1.05721177627069,5.1898705092139,7.61941041926954e-08
ENSMUSG00000032281.12,0.128899447832358,Acsbg1,protein_coding,0.384001477110156,5.1099802350039,0.00414067582361086
ENSMUSG00000010095.14,0.128275865752821,Slc3a2,protein_coding,-0.773180494898809,7.4465329064708,1.06918136238251e-05
ENSMUSG00000043336.15,0.128168893151182,Filip1l,protein_coding,0.174371023344017,5.24589386509939,0.206170972675808
ENSMUSG00000025402.13,0.127507806850263,Nab2,protein_coding,0.417475321280243,4.75194362304676,0.0264009817081875
ENSMUSG00000014470.5,0.127341530768942,Rnf166,protein_coding,0.537939029326284,6.50942144491889,0.00055628913360672
ENSMUSG00000030717.10,0.124943457678536,Nupr1,protein_coding,-2.44873470746286,0.153996896861684,9.61619783480099e-05
ENSMUSG00000032841.16,0.124139892859097,Prr5l,protein_coding,-0.750704713162099,2.39296729244939,0.00285376375638966
ENSMUSG00000003200.11,0.122361332648123,Sh3gl1,protein_coding,-0.0357114300419381,6.28299734971206,0.823463266154567
ENSMUSG00000022351.15,0.12183744757935,Sqle,protein_coding,-0.977476960268616,6.01198240759712,6.13200014641902e-07
ENSMUSG00000022895.17,0.120383396501372,Ets2,protein_coding,-0.178770822541198,4.11380236740315,0.323793593749681
ENSMUSG00000059820.15,0.12000924047311,Nkapd1,protein_coding,0.0180273383182418,5.61940723612602,0.865226639665101
ENSMUSG00000096433.3,0.118824820603433,Zfp994,protein_coding,0.379023284373421,3.28243459468614,0.0652397609625479
ENSMUSG00000029472.14,0.118115501037412,Anapc5,protein_coding,-0.329156282060009,8.69444764348026,0.000401164481752356
ENSMUSG00000079442.13,0.11792222309148,St6galnac4,protein_coding,-0.215594594512984,6.626141953731,0.00884213717689839
ENSMUSG00000029513.15,0.117639084099332,Prkab1,protein_coding,0.117534768432884,5.38146387359476,0.310967470301839
ENSMUSG00000024273.9,0.117366204498294,2700062C07Rik,protein_coding,0.0548462437294846,3.5892156234839,0.856616661367954
ENSMUSG00000058638.15,0.11592516901097,Zfp110,protein_coding,0.140154926907555,5.09666673776129,0.376512835726789
ENSMUSG00000001741.13,0.115686005795492,Il16,protein_coding,0.215762284080521,7.2129121346523,0.0509334583534097
ENSMUSG00000026475.8,0.113741614997111,Rgs16,protein_coding,0.597906315734305,1.04570251384763,0.106899968212752
ENSMUSG00000037514.19,0.112718388391277,Pank2,protein_coding,0.0821604024027741,6.21075147738755,0.368605031667185
ENSMUSG00000034083.17,0.112337906949358,Ccdc174,protein_coding,0.0480864430547386,4.93740822130073,0.787328291671343
ENSMUSG00000037868.16,0.111712564520457,Egr2,protein_coding,0.861858202980302,0.103378684624018,0.0821297352507084
ENSMUSG00000021432.16,0.111281856317478,Slc35b3,protein_coding,0.146819738089952,5.51879684448389,0.14814282754602
ENSMUSG00000041831.18,0.110294442138333,Sytl3,protein_coding,-0.210229986609834,5.76148334509606,0.0126828100389564
ENSMUSG00000022372.15,0.109904403903566,Sla,protein_coding,0.504513253220096,6.80562008618132,2.53858087057073e-05
ENSMUSG00000053390.17,0.109699882071992,Zfp952,protein_coding,0.391974678689046,4.04252445728733,0.0134659809681368
ENSMUSG00000057469.9,0.109052518557853,E2f6,protein_coding,-0.438242515919367,6.03112212969078,0.000106424509984856
ENSMUSG00000035151.13,0.107471735064996,Elmod2,protein_coding,0.510946493643551,4.2478434359211,0.00353862058237266
ENSMUSG00000062345.11,0.106901538856379,Serpinb2,protein_coding,NA,NA,NA
ENSMUSG00000033105.13,0.105973666307372,Lss,protein_coding,-0.444054304346609,5.83163472135909,0.000694055848175016
ENSMUSG00000037071.4,0.105625554391686,Scd1,protein_coding,0.213776270787023,1.61987144584179,0.696121688729464
ENSMUSG00000075327.11,0.105321841791804,Zbtb2,protein_coding,0.745021842074188,5.66127462164216,1.42269741494252e-06
ENSMUSG00000001518.13,0.10501948178874,Itfg2,protein_coding,0.1917706881452,5.08560153307644,0.0652613796939368
ENSMUSG00000044763.9,0.104985519828983,Trmt10c,protein_coding,0.293803479359672,5.28071071038014,0.108433377605558
ENSMUSG00000026142.16,0.104395306573229,Rhbdd1,protein_coding,-0.277765351843243,5.17286181756276,0.0132341503894375
ENSMUSG00000042419.9,0.104227142223408,Nfkbil1,protein_coding,0.378861415545512,4.79782111184263,0.0540978369988398
ENSMUSG00000039850.17,0.104117666135448,Endov,protein_coding,0.207689330713602,5.02122922498933,0.0391187188973672
ENSMUSG00000028857.17,0.104095666398909,Tmem222,protein_coding,0.108939735561866,5.55112009012139,0.442973402885044
ENSMUSG00000027737.11,0.10379733168968,Slc7a11,protein_coding,NA,NA,NA
ENSMUSG00000044442.12,0.10347819753059,N6amt1,protein_coding,0.0952352395450628,4.90425891818491,0.363879982032626
ENSMUSG00000024283.16,0.103186334956467,Wac,protein_coding,0.227230983539246,7.03512713122608,0.00388060952020632
ENSMUSG00000029227.16,0.102910584559872,Fip1l1,protein_coding,0.0705452132624146,7.47576764869106,0.424146568981142
ENSMUSG00000072761.12,0.102825417366485,NA,NA,0.183614627655926,3.45146762667998,0.298890564733327
ENSMUSG00000029022.19,0.102775093618874,Miip,protein_coding,0.0827666493240902,5.7156998947246,0.537100681128907
ENSMUSG00000048922.19,0.102476104426379,Cdca2,protein_coding,-0.720617053521126,5.79365826914947,1.07718679949918e-06
ENSMUSG00000042215.9,0.102111041149061,Bag2,protein_coding,-0.452358328138365,3.82812797934526,0.0122680256471066
ENSMUSG00000089774.3,0.101256133404417,Slc5a3,protein_coding,0.0417112184219841,3.67121888397544,0.919640118030533
ENSMUSG00000073771.12,0.100939800988006,Btbd19,protein_coding,0.0337485979532499,5.05894144829056,0.873706740579616
ENSMUSG00000022253.18,0.100700623811286,Nadk2,protein_coding,0.236554733878445,4.62671124201658,0.0873430595098043
ENSMUSG00000117628.2,0.10050933507905,Gm50012,lncRNA,-0.231717220129506,2.46352208243004,0.522302234300399
ENSMUSG00000073791.14,0.100365636553007,Efcab7,protein_coding,0.556306113202544,2.03696916592861,0.0593784405492139
ENSMUSG00000028266.18,0.100247354935654,Lmo4,protein_coding,-0.282347853110758,4.71034593241774,0.0819718480258715
ENSMUSG00000026358.14,0.100098179376213,Rgs1,protein_coding,0.84741391203123,4.64719345265221,0.00105797118293256
ENSMUSG00000068732.6,0.0999275776377609,Tmem167b,protein_coding,0.377849825186753,5.26142005403038,0.00925066777399203
ENSMUSG00000051721.7,0.0995227648459971,Wdcp,protein_coding,-0.202002410177225,3.12341381317974,0.365470061628585
ENSMUSG00000036093.8,0.0995144614371529,Arl5a,protein_coding,-0.371609827760046,6.35910936499366,0.000286311902131314
