Ensembl,TOM.similarity.measure,Name,gene_biotype,treated.cebpg.vs.rosa26_logFC,treated.cebpg.vs.rosa26_logCPM,treated.cebpg.vs.rosa26_adjusted.pvalue
ENSMUSG00000026628.14,0.221736727038023,Atf3,protein_coding,-0.242962464260681,1.20607536326904,0.644265124310438
ENSMUSG00000031700.12,0.221005616397864,Gpt2,protein_coding,-1.58993114528869,4.11975670392222,3.66220202275574e-08
ENSMUSG00000004837.3,0.214032497032201,Grap,protein_coding,0.325819108862578,7.01827633057431,0.0412909788824284
ENSMUSG00000027737.11,0.203871622110078,Slc7a11,protein_coding,NA,NA,NA
ENSMUSG00000037242.9,0.201289570310388,Clic4,protein_coding,-1.12978093174736,7.19361277794571,5.89243434315688e-10
ENSMUSG00000031506.12,0.201256465667064,Ptpn7,protein_coding,-0.210103686265272,7.4424734844059,0.0591016865596712
ENSMUSG00000059588.14,0.193622378600699,NA,NA,-0.00416550963993158,2.94582365015439,0.988259245837121
ENSMUSG00000029009.18,0.186729864770058,Mthfr,protein_coding,-0.220619197167626,4.90371994481716,0.101664176417587
ENSMUSG00000041028.17,0.186287562536815,Ghitm,protein_coding,-1.03698441044589,7.96690175046072,8.00096917103826e-06
ENSMUSG00000028266.18,0.183239012261514,Lmo4,protein_coding,-0.4691684193839,4.71034593241774,0.00906816800149904
ENSMUSG00000037447.17,0.183163620331318,Arid5a,protein_coding,0.130471797992932,8.85994365205632,0.0642706210290006
ENSMUSG00000025532.14,0.177898657696128,Crcp,protein_coding,0.0136429739213508,5.18846365848006,0.94961656567584
ENSMUSG00000032369.14,0.17773827000207,Plscr1,protein_coding,-0.161918381569289,5.55348330751311,0.311001438196869
ENSMUSG00000031431.14,0.174957097806955,Tsc22d3,protein_coding,0.407456017991701,5.18998999892572,0.0469972889811509
ENSMUSG00000024696.10,0.17492531011493,Lpxn,protein_coding,0.178880279314559,6.47621175472258,0.135660841735234
ENSMUSG00000071359.14,0.174920012895518,Tbpl1,protein_coding,-0.358034739779327,4.71326600009262,0.00172747002756067
ENSMUSG00000030268.18,0.172072913674336,Bcat1,protein_coding,-0.804257608547924,5.67229590702759,4.97578122696569e-07
ENSMUSG00000021701.9,0.170080327424322,Plk2,protein_coding,-0.390632769295553,3.26864249939561,0.0157211990777736
ENSMUSG00000010755.18,0.166735374274845,Cars1,protein_coding,-0.624967526765739,6.26952982008513,2.46713293877814e-07
ENSMUSG00000028179.13,0.166559254299568,Cth,protein_coding,NA,NA,NA
ENSMUSG00000038539.16,0.165943512353447,Atf5,protein_coding,-2.01445905174483,5.01970180479049,9.83074861977414e-09
ENSMUSG00000062510.13,0.164454093471553,Nsl1,protein_coding,-0.379300813740179,5.26414245798606,0.00167226915297443
ENSMUSG00000020694.18,0.163429049838706,Tlk2,protein_coding,0.229848751301693,6.43954704014605,0.00177223790701925
ENSMUSG00000041390.19,0.16313918012067,Mdfic,protein_coding,-0.15304910052694,6.21029237995447,0.107379255039183
ENSMUSG00000029446.15,0.162214621073194,Psph,protein_coding,-0.617021440263639,5.72753986990385,0.00142197281480735
ENSMUSG00000071660.11,0.161866161206217,Ttc9c,protein_coding,-0.172528271529901,5.97015541161415,0.0766339903396695
ENSMUSG00000066258.14,0.159439203425058,Trim12a,protein_coding,0.319061187485027,6.28969118127396,0.0358928753923374
ENSMUSG00000038615.18,0.15904140581391,Nfe2l1,protein_coding,-0.698799218140659,6.82354252007791,2.46638558083178e-06
ENSMUSG00000027514.15,0.15828750291472,Zbp1,protein_coding,0.156931247880848,6.40321806596219,0.253708431398125
ENSMUSG00000027399.2,0.155637022171246,Il1a,protein_coding,NA,NA,NA
ENSMUSG00000048787.14,0.155056746897031,Dcun1d3,protein_coding,-0.0777485207582857,4.85280306546869,0.555543719392256
ENSMUSG00000022369.14,0.153799614192441,Mtbp,protein_coding,-0.406730853280748,5.47370958220879,0.000980570001835246
ENSMUSG00000023045.14,0.152324713649338,Soat2,protein_coding,-1.30117739545663,4.83341999144237,3.23786589700752e-08
ENSMUSG00000040848.12,0.149874820717373,Sft2d2,protein_coding,-0.356955404750873,6.58764550236011,0.00176461427534065
ENSMUSG00000005667.9,0.146291640699651,Mthfd2,protein_coding,-1.06076957496862,6.94411915284535,5.89243434315688e-10
ENSMUSG00000029752.13,0.146044810598397,Asns,protein_coding,-1.53858958223408,5.25793388177727,5.89243434315688e-10
ENSMUSG00000025986.7,0.145869512224196,Slc39a10,protein_coding,-0.43984017955098,4.54668824478871,0.000796172529832012
ENSMUSG00000015837.16,0.144622442085123,Sqstm1,protein_coding,-0.213111098172899,6.97825675483422,0.114178585950745
ENSMUSG00000022372.15,0.143721246734375,Sla,protein_coding,0.2303411392911,6.80562008618132,0.0285969590235402
ENSMUSG00000039660.17,0.143576806750659,Spout1,protein_coding,-0.392796902629718,5.2562638986458,0.00550403999411517
